Reference;Qty;Value;Footprint;Hotovo;Sloupec1
C1,C5,C6,C8,C11;5;10u;Capacitor_SMD:C_1206_3216Metric;hotovo;
C2,C4,C10;3;220u;Capacitor_SMD:C_Elec_8x10.2;hotovo;
C3,C7,C9,C12,C13,C15,C16,C20,C21;9;100n;Capacitor_SMD:C_0805_2012Metric;hotovo;
C14,C17;2;1u;Capacitor_SMD:C_0805_2012Metric;hotovo;
C18,C19;2;15p;Capacitor_SMD:C_0805_2012Metric;hotovo;
C22;1;10n;Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder;hotovo;
C23;1;10u;Capacitor_SMD:C_0805_2012Metric;hotovo;
D1,D2,D3,D4,D5,D6;6;D_Schottky;Diode_SMD:D_SMA;hotovo;
D7;1;3V6;Diode_SMD:D_SMA;hotovo;
D8;1;LED;LED_THT:LED_D3.0mm;hotovo;
D10;1;SM6T6V8A;Diode_SMD:D_SMB;hotovo;
H1,H3;2;MountingHole_Pad;MountingHole:MountingHole_3.2mm_M3_DIN965_Pad;hotovo;
H2;1;MountingHole_Pad;KiCad_David:Hole;hotovo;
IC1,IC2,IC4;3;MCP1404-E_SN;My_footprints:SOIC127P600X175-8N;hotovo;
IC3;1;LD1117S33CTR;My_footprints:SOT223;hotovo;
J1;1;Power;KiCad_David:XT30-f;hotovo;
J2;1;Motor1;KiCad_David:XT30-f;hotovo;
J3;1;Motor2;KiCad_David:XT30-f;hotovo;
J4;1;Motor3;KiCad_David:XT30-f;hotovo;
J5;1;Motor4;KiCad_David:XT30-f;hotovo;
J6;1;ELMAG;KiCad_David:XT30-f;hotovo;
J7;1;SWD;Connector_PinHeader_1.27mm:PinHeader_1x05_P1.27mm_Vertical;;
J8;1;UART;Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical;nalezeno;
J9;1;Rotations;Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical;hotovo;
J10;1;Velocity;Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical;hotovo;
J11;1;UD;KiCad_David:XT30-f;hotovo;
L1;1;10u;Inductor_SMD:L_0805_2012Metric;hotovo;
R1,R2,R20,R21,R26,R27,R41;7;10R;Resistor_SMD:R_0805_2012Metric;hotovo;
R3,R4,R11,R12,R13,R14,R15,R16,R18,R19,R24,R25,R29,R31;14;10k;Resistor_SMD:R_0805_2012Metric;hotovo;
R5,R6,R7,R8,R9,R10,R22;7;220R;Resistor_SMD:R_0805_2012Metric;hotovo;
R17,R33,R34,R35,R36,R37;6;150R;Resistor_SMD:R_0805_2012Metric;hotovo;
R23;1;470R;Resistor_SMD:R_0805_2012Metric;hotovo;
R28;1;1m;WSK25121L000FEA;hotovo;
R30;1;100R;Resistor_SMD:R_0805_2012Metric;hotovo;
R32,R38;2;680R;Resistor_SMD:R_0805_2012Metric;hotovo;
R39;1;10k;Resistor_SMD:R_0805_2012Metric;hotovo;
R40;1;1k;Resistor_SMD:R_0805_2012Metric;hotovo;
SW1;1;SW_Push;Button_Switch_THT:SW_PUSH_6mm_H9.5mm;hotovo;
U1,U2,U5;3;CSD88539NDT;My_footprints:SOIC127P600X175-8N;hotovo;
U3;1;STM32G431KBT6;My_footprints:QFP80P900X900X160-32N;hotovo;
U4;1;SN74HC14DR;My_footprints:SOIC127P600X175-14N;hotovo;
U6;1;INA138;Package_TO_SOT_SMD:SOT-23-5;hotovo;
Y1;1;8MHz;Crystal:Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm;hotovo;
